Itmcd,district,rate
B0-646,AMPARA DISTRICT,3013.5
B0-647,AMPARA DISTRICT,35.9
B0-648,AMPARA DISTRICT,127.55
B0-649,AMPARA DISTRICT,150.06
B0-704,AMPARA DISTRICT,1100
B0-705,AMPARA DISTRICT,2750
B0-711,AMPARA DISTRICT,110
B0-712,AMPARA DISTRICT,220
B0-713,AMPARA DISTRICT,440
B0-714,AMPARA DISTRICT,770
B0-715,AMPARA DISTRICT,550
B0-716,AMPARA DISTRICT,82.5
B0-717,AMPARA DISTRICT,440
B0-718,AMPARA DISTRICT,550
B0-720,AMPARA DISTRICT,110
B0-723,AMPARA DISTRICT,220
B0-732,AMPARA DISTRICT,550
B0-741,AMPARA DISTRICT,220
B0-746,AMPARA DISTRICT,550
B0-751,AMPARA DISTRICT,330
B0-752,AMPARA DISTRICT,110
B0-761,AMPARA DISTRICT,1430
B0-762,AMPARA DISTRICT,2200
B0-781,AMPARA DISTRICT,55
B0-782,AMPARA DISTRICT,55
B0-784,AMPARA DISTRICT,27.5
B0-785,AMPARA DISTRICT,38.5
B0-786,AMPARA DISTRICT,110
B0-787,AMPARA DISTRICT,110
B0-788,AMPARA DISTRICT,27.5
B0-791,AMPARA DISTRICT,250
B0-792,AMPARA DISTRICT,93.75
B0-800,AMPARA DISTRICT,300
B0-801,AMPARA DISTRICT,300
B0-802,AMPARA DISTRICT,310
B0-803,AMPARA DISTRICT,4008
B0-804,AMPARA DISTRICT,32
B0-805,AMPARA DISTRICT,32
B0-806,AMPARA DISTRICT,32
B0-810,AMPARA DISTRICT,3.35
B0-811,AMPARA DISTRICT,4.26
B0-812,AMPARA DISTRICT,5.18
B0-813,AMPARA DISTRICT,6.09
B0-814,AMPARA DISTRICT,7.01
B0-814A,AMPARA DISTRICT,8.23
B0-815,AMPARA DISTRICT,9.75
B0-816,AMPARA DISTRICT,10.67
B0-817,AMPARA DISTRICT,12.19
B0-818,AMPARA DISTRICT,13.41
B0-819,AMPARA DISTRICT,16.15
B0-830,AMPARA DISTRICT,9.5
B0-831,AMPARA DISTRICT,11.5
B0-832,AMPARA DISTRICT,13.5
B0-833,AMPARA DISTRICT,14.5
B0-834,AMPARA DISTRICT,15.5
B0-835,AMPARA DISTRICT,16.5
B0-850,AMPARA DISTRICT,10384.4
B0-851,AMPARA DISTRICT,12773
B0-852,AMPARA DISTRICT,13692.55
B0-853,AMPARA DISTRICT,18179.75
B0-854,AMPARA DISTRICT,27576.05
B0-850A,AMPARA DISTRICT,11985.05
B0-851A,AMPARA DISTRICT,14998.2
B0-852A,AMPARA DISTRICT,15932.1
B0-853A,AMPARA DISTRICT,22448.9
B0-853A,AMPARA DISTRICT,31981.2
B0-860,AMPARA DISTRICT,302.5
B0-900,AMPARA DISTRICT,98496
B0-901,AMPARA DISTRICT,478800
B0-902,AMPARA DISTRICT,490140
B0-903,AMPARA DISTRICT,1235532
B0-904,AMPARA DISTRICT,1581021
B0-905,AMPARA DISTRICT,768285
B0-906,AMPARA DISTRICT,1044855
B0-907,AMPARA DISTRICT,1365000
B0-908,AMPARA DISTRICT,817656
B0-909,AMPARA DISTRICT,1627500
B0-910,AMPARA DISTRICT,698775
B0-911,AMPARA DISTRICT,867825
B0-912,AMPARA DISTRICT,3360
B0-913,AMPARA DISTRICT,5460
B0-914,AMPARA DISTRICT,420
B0-915,AMPARA DISTRICT,504
B0-916,AMPARA DISTRICT,8715
B0-917,AMPARA DISTRICT,139834
B0-918,AMPARA DISTRICT,142170
B0-919,AMPARA DISTRICT,262353
B0-920,AMPARA DISTRICT,37107
B0-921,AMPARA DISTRICT,176421
B0-922,AMPARA DISTRICT,176421
B0-923,AMPARA DISTRICT,92400
B0-924,AMPARA DISTRICT,22785
B0-925,AMPARA DISTRICT,1942193
B0-926,AMPARA DISTRICT,644490
B0-927,AMPARA DISTRICT,866250
B0-928,AMPARA DISTRICT,28253
B0-929,AMPARA DISTRICT,53772
B0-930,AMPARA DISTRICT,8828.8
B0-931,AMPARA DISTRICT,5338
B0-932,AMPARA DISTRICT,6119
B0-933,AMPARA DISTRICT,3645
B0-934,AMPARA DISTRICT,60803
B0-935,AMPARA DISTRICT,11978
B0-936,AMPARA DISTRICT,131250
B0-937,AMPARA DISTRICT,11652
B0-938,AMPARA DISTRICT,10350
B0-939,AMPARA DISTRICT,14700
B0-940,AMPARA DISTRICT,165354
B0-941,AMPARA DISTRICT,420000
B0-1001,AMPARA DISTRICT,6000
B0-1002,AMPARA DISTRICT,8083.33
B0-1003,AMPARA DISTRICT,4766.67
B0-1004,AMPARA DISTRICT,7183.33
B0-1005,AMPARA DISTRICT,10708.33
B0-1006,AMPARA DISTRICT,7250
B0-1008,AMPARA DISTRICT,17250
B0-1009,AMPARA DISTRICT,8975
B0-1010,AMPARA DISTRICT,10666.67
B0-1011,AMPARA DISTRICT,24975
B0-1012,AMPARA DISTRICT,12800
B0-1021,AMPARA DISTRICT,247.94
B0-1022,AMPARA DISTRICT,572.73
B0-1023,AMPARA DISTRICT,714.07
B0-1024,AMPARA DISTRICT,887.36
B0-1025,AMPARA DISTRICT,644.66
B0-1026,AMPARA DISTRICT,1115.74
B0-1027,AMPARA DISTRICT,1105.93
B0-1028,AMPARA DISTRICT,1477
B0-1029,AMPARA DISTRICT,1506.32
